city,latitude,longitude,cityFIPS7,county,countyPrimary_igfi,countyPrimary,countyFIPS5,stateName,type
Dunkerton,42.5699952,-92.1609371,1922845,Black Hawk,x,,19013,Iowa,
Dunlap,41.8543292,-95.6019662,1922890,Harrison,x,,19085,Iowa,
Durango,42.5602775,-90.7756829,1922935,Dubuque,x,,19061,Iowa,
Durant,41.5997498,-90.9107037,1922980,Cedar,x,x,19031,Iowa,
Anamosa,42.1083371,-91.2851594,1901990,Jones,x,,19105,Iowa,
Durant,41.5997498,-90.9107037,1922980,Muscatine,,,19139,Iowa,
Durant,41.5997498,-90.9107037,1922980,Scott,,,19163,Iowa,
Dyersville,42.4836415,-91.1140899,1923115,Delaware,,,19055,Iowa,
Dyersville,42.4836415,-91.1140899,1923115,Dubuque,x,x,19061,Iowa,
Dysart,42.171659,-92.3062978,1923160,Tama,x,,19171,Iowa,
Eagle Grove,42.6641396,-93.9044473,1923250,Wright,x,,19197,Iowa,
Earlham,41.4915674,-94.1229834,1923340,Madison,x,,19121,Iowa,
Earling,41.7765693,-95.4176808,1923385,Shelby,x,,19165,Iowa,
Earlville,42.4808256,-91.2709737,1923430,Delaware,x,,19055,Iowa,
Early,42.4613706,-95.1519373,1923475,Sac,x,,19161,Iowa,
Anderson,40.801389,-95.603889,1902035,Fremont,x,,19071,Iowa,CDP
East Amana,41.8091737,-91.851011,1923520,Iowa,x,,19095,Iowa,CDP
East Peru,41.2269364,-93.926336,1923790,Madison,x,,19121,Iowa,
Eddyville,41.1605646,-92.6313031,1923970,Mahaska,,,19123,Iowa,
Eddyville,41.1605646,-92.6313031,1923970,Monroe,,,19135,Iowa,
Eddyville,41.1605646,-92.6313031,1923970,Wapello,x,x,19179,Iowa,
Edgewood,42.6444313,-91.4012515,1924060,Clayton,,,19043,Iowa,
Edgewood,42.6444313,-91.4012515,1924060,Delaware,x,x,19055,Iowa,
Elberon,42.0061054,-92.3168534,1924375,Tama,x,,19171,Iowa,
Eldon,40.9186301,-92.2229585,1924420,Wapello,x,,19179,Iowa,
Eldora,42.3680382,-93.1057576,1924465,Hardin,x,,19083,Iowa,
Ackworth,41.3669372,-93.4727131,1900235,Warren,x,,19181,Iowa,
Andover,41.9791933,-90.2517961,1902080,Clinton,x,,19045,Iowa,
Eldridge,41.6580864,-90.5845822,1924600,Scott,x,,19163,Iowa,
Elgin,42.9574811,-91.6307065,1924645,Fayette,x,,19065,Iowa,
Elk Horn,41.591655,-95.0599904,1924780,Shelby,x,,19165,Iowa,
Elk Run Heights,42.4669324,-92.256572,1924870,Black Hawk,x,,19013,Iowa,
Elkader,42.8538739,-91.4054159,1924690,Clayton,x,,19043,Iowa,
Elkhart,41.7916546,-93.5221591,1924735,Polk,x,,19153,Iowa,
Elkport,42.7397104,-91.2779108,1924825,Clayton,x,,19043,Iowa,
Elliott,41.1491582,-95.1638809,1924915,Montgomery,x,,19137,Iowa,
Ellston,40.8402713,-94.1085622,1925005,Ringgold,x,,19159,Iowa,
Ellsworth,42.3124934,-93.5787757,1925050,Hamilton,x,,19079,Iowa,
Andrew,42.1536292,-90.5923542,1902125,Jackson,x,,19097,Iowa,
Elma,43.2466362,-92.4360102,1925095,Howard,x,,19089,Iowa,
Ely,41.8736182,-91.585175,1925365,Linn,x,,19113,Iowa,
Emerson,41.0172179,-95.4022179,1925500,Mills,x,,19129,Iowa,
Emmetsburg,43.1127427,-94.6830357,1925590,Palo Alton,x,,19147,Iowa,
Epworth,42.4450016,-90.9320766,1925725,Dubuque,x,,19061,Iowa,
Essex,40.8344024,-95.3073003,1925815,Page,x,,19145,Iowa,
Estherville,43.4013478,-94.8391532,1925860,Emmet,x,,19063,Iowa,
Evansdale,42.4691543,-92.281017,1925995,Black Hawk,x,,19013,Iowa,
Everly,43.1616378,-95.3280572,1926175,Clay,x,,19041,Iowa,
Exira,41.591156,-94.8763141,1926265,Audubon,x,,19009,Iowa,
Anita,41.4438761,-94.764146,1902260,Cass,x,,19029,Iowa,
Exline,40.6491835,-92.8404762,1926310,Appanoose,x,,19007,Iowa,
Fairbank,42.6391512,-92.0471199,1926355,Buchanan,x,x,19019,Iowa,
Fairbank,42.6391512,-92.0471199,1926355,Fayette,,,19065,Iowa,
Fairfax,41.9194471,-91.7810132,1926400,Linn,x,,19113,Iowa,
Fairfield,41.0076114,-91.9636914,1926445,Jefferson,x,,19101,Iowa,
Farley,42.4444448,-91.0051339,1926760,Dubuque,x,,19061,Iowa,
Farmersburg,42.9610957,-91.3679144,1926850,Clayton,x,,19043,Iowa,
Farmington,40.6403124,-91.7429429,1926895,Van Buren,x,,19177,Iowa,
Farnhamville,42.2760896,-94.403859,1926940,Calhoun,x,x,19025,Iowa,
Farnhamville,42.2760896,-94.403859,1926940,Webster,,,19187,Iowa,
Ankeny,41.7317884,-93.6001278,1902305,Polk,x,,19153,Iowa,
Farragut,40.7208593,-95.4808047,1926985,Fremont,x,,19071,Iowa,
Fayette,42.8419255,-91.8021071,1927165,Fayette,x,,19065,Iowa,
Fenton,43.2196851,-94.4305282,1927210,Kossuth,x,,19109,Iowa,
